id_tableau,titre_tableau,source,categorie,sexe,2011-2012,2012-2013,2013-2014,2014-2015,2015-2016,2016-2017,2017-2018
7.08,Evolution des Données de l'Enseignement Supérieur,Ministère de l'enseignement superieur et de la recherche scientifique,Effectif des étudiants,"",36 766,44 887,37 872,51 225,60 122,62 378,41 869
7.08,Evolution des Données de l'Enseignement Supérieur,Ministère de l'enseignement superieur et de la recherche scientifique,Effectif des étudiants,feminin,12 100,13 938,9 298,12 786,18 279,19 508,15 917
7.08,Evolution des Données de l'Enseignement Supérieur,Ministère de l'enseignement superieur et de la recherche scientifique,Effectif des abandons,"",-,1 516,1 103,974,1 891,2 152,1 237
7.08,Evolution des Données de l'Enseignement Supérieur,Ministère de l'enseignement superieur et de la recherche scientifique,Effectif des abandons,feminin,-,440,276,202,594,655,403
7.08,Evolution des Données de l'Enseignement Supérieur,Ministère de l'enseignement superieur et de la recherche scientifique,Effectif des redoublants,"",-,1 113,663,833,1 588,1 501,1 912
7.08,Evolution des Données de l'Enseignement Supérieur,Ministère de l'enseignement superieur et de la recherche scientifique,Effectif des redoublants,feminin,-,481,202,179,420,363,546
7.08,Evolution des Données de l'Enseignement Supérieur,Ministère de l'enseignement superieur et de la recherche scientifique,Effectif des boursiers,"",-,4 877,2 911,7 655,16 462,16 464,11 929
7.08,Evolution des Données de l'Enseignement Supérieur,Ministère de l'enseignement superieur et de la recherche scientifique,Effectif des boursiers,feminin,"",1 523,533,1 563,4 117,4 026,2 887
7.08,Evolution des Données de l'Enseignement Supérieur,Ministère de l'enseignement superieur et de la recherche scientifique,Effectif des étudiants étrangers,"",-,2 158,868,2 864,2 084,1 857,1 996
7.08,Evolution des Données de l'Enseignement Supérieur,Ministère de l'enseignement superieur et de la recherche scientifique,Effectif des étudiants étrangers,feminin,-,640,245,181,691,593,280
7.08,Evolution des Données de l'Enseignement Supérieur,Ministère de l'enseignement superieur et de la recherche scientifique,Effectif des enseignants,"",864,1 583,1 625,1 975,2 646,3 118,3 456
7.08,Evolution des Données de l'Enseignement Supérieur,Ministère de l'enseignement superieur et de la recherche scientifique,Effectif des enseignants,feminin,113,219,167,221,547,391,498
7.08,Evolution des Données de l'Enseignement Supérieur,Ministère de l'enseignement superieur et de la recherche scientifique,Effectif des diplômés,"",1 844,3 159,3 726,3 333,10 462,12 321,11 522
7.08,Evolution des Données de l'Enseignement Supérieur,Ministère de l'enseignement superieur et de la recherche scientifique,Effectif des diplômés,feminin,657,1 139,992,928,3 840,4 764,4 316
