id_tableau,titre_tableau,source,categorie,sous-categorie,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
9.02,Apports de cafés cerises aux societés de lavage( tonnes),ARFIC,Sogestal,Kayanza,19807,1707,6647,5253,5253,7497,5350,9157,6489,8878
9.02,Apports de cafés cerises aux societés de lavage( tonnes),ARFIC,Sogestal,Kirimiro,18288,2723,20163,7022,14026,12015,10515,6009,8294,14809
9.02,Apports de cafés cerises aux societés de lavage( tonnes),ARFIC,Sogestal,Kirundo,15510,5102,20073,6870,6366,1639,2376,1477,3764,8557
9.02,Apports de cafés cerises aux societés de lavage( tonnes),ARFIC,Sogestal,Mumirwa,22405,7206,16958,10963,11237,5348,7070,6467,5156,9820
9.02,Apports de cafés cerises aux societés de lavage( tonnes),ARFIC,Sogestal,Ngozi,15751,1550,10196,3105,7281,2075,2709,1054,3641,5720
9.02,Apports de cafés cerises aux societés de lavage( tonnes),ARFIC,OLAM (SONICOFF),"",3925,1490,4565,1241,3057,3148,5520,4932,1912,4931
9.02,Apports de cafés cerises aux societés de lavage( tonnes),ARFIC,Coprotra,"",2538,298,1184,1582,1017,"","","","",""
9.02,Apports de cafés cerises aux societés de lavage( tonnes),ARFIC,Ets Nduwayezu,"",1437,309,2033,1472,4663,2628,4100,4698,3292,605
9.02,Apports de cafés cerises aux societés de lavage( tonnes),ARFIC,ETS Ntakarutimana,"","","","","","","","",253,200,153
9.02,Apports de cafés cerises aux societés de lavage( tonnes),ARFIC,ICOCOGE,"",746,82,1783,431,1486,727,165,149,270,""
