id_tableau,titre_tableau,source,categorie,2014,2015,2016
19.05,Nombre de dossier en attente d'avis du parquet à la fin de l'année,Ministère de la Justice,Parquet Général de la République,25,51,50
19.05,Nombre de dossier en attente d'avis du parquet à la fin de l'année,Ministère de la Justice,Parquet Général près la CA de BUJUMBURA,72,13,30
19.05,Nombre de dossier en attente d'avis du parquet à la fin de l'année,Ministère de la Justice,PQ PRES TGI Bujumbura Mairie,14,28,22
19.05,Nombre de dossier en attente d'avis du parquet à la fin de l'année,Ministère de la Justice,PQ PRES TGI Bujumbura Rural,2,1,2
19.05,Nombre de dossier en attente d'avis du parquet à la fin de l'année,Ministère de la Justice,PQ PRES TGI Bubanza,11,19,8
19.05,Nombre de dossier en attente d'avis du parquet à la fin de l'année,Ministère de la Justice,PQ PRES TGI Cibitoke,10,12,15
19.05,Nombre de dossier en attente d'avis du parquet à la fin de l'année,Ministère de la Justice,PQ PRES TGI Muha,-,-,1
19.05,Nombre de dossier en attente d'avis du parquet à la fin de l'année,Ministère de la Justice,PQ PRES Mukaza,-,-,19
19.05,Nombre de dossier en attente d'avis du parquet à la fin de l'année,Ministère de la Justice,PQ PRES Muramvya,2,2,5
19.05,Nombre de dossier en attente d'avis du parquet à la fin de l'année,Ministère de la Justice,PQ PRES Mwaro,9,7,4
