id_tableau,titre_tableau,source,Provinces,2011,2012,2013,2014,2015,2016,2017,2018
6.03,Répartition des employeurs en activité par province (au 31 décembre),institut National de Sécurité Sociale (INSS),Bubanza,38,45,54,71,-,80,88,104
6.03,Répartition des employeurs en activité par province (au 31 décembre),institut National de Sécurité Sociale (INSS),Bujumbura-Mairie,3 071,3 440,3 830,4 208,-,4 756,5208,5604
6.03,Répartition des employeurs en activité par province (au 31 décembre),institut National de Sécurité Sociale (INSS),Bujumbura,101,105,113,152,-,172,188,169
6.03,Répartition des employeurs en activité par province (au 31 décembre),institut National de Sécurité Sociale (INSS),Bururi,94,259,312,351,-,396,434,175
6.03,Répartition des employeurs en activité par province (au 31 décembre),institut National de Sécurité Sociale (INSS),Cankuzo,34,34,35,52,-,59,65,74
6.03,Répartition des employeurs en activité par province (au 31 décembre),institut National de Sécurité Sociale (INSS),Cibitoke,53,56,61,66,-,75,82,130
6.03,Répartition des employeurs en activité par province (au 31 décembre),institut National de Sécurité Sociale (INSS),Gitega,254,280,301,336,-,380,416,450
6.03,Répartition des employeurs en activité par province (au 31 décembre),institut National de Sécurité Sociale (INSS),Karuzi,51,53,58,61,-,69,76,85
6.03,Répartition des employeurs en activité par province (au 31 décembre),institut National de Sécurité Sociale (INSS),Kayanza,85,86,88,116,-,131,143,155
6.03,Répartition des employeurs en activité par province (au 31 décembre),institut National de Sécurité Sociale (INSS),Kirundo,59,61,62,65,-,74,81,124
