id_tableau,titre_tableau,source,categorie,2008,2009,2010,2011,2012,2013,2014,2015,2016
4.06,Effectif de médecins soignants par province.,MSPLS/Annuaire des statistiques sanitaires.,Bubanza,6,4,8,8,19,"",3,3,3
4.06,Effectif de médecins soignants par province.,MSPLS/Annuaire des statistiques sanitaires.,Cibitoke,6,4,9,9,13,"",3,2,2
4.06,Effectif de médecins soignants par province.,MSPLS/Annuaire des statistiques sanitaires.,Bujumbura-Mairie,"","",156,156,168,"",58,58,64
4.06,Effectif de médecins soignants par province.,MSPLS/Annuaire des statistiques sanitaires.,Bururi,17,10,20,20,16,"",6,5,5
4.06,Effectif de médecins soignants par province.,MSPLS/Annuaire des statistiques sanitaires.,Makamba,5,13,16,16,21,"",2,2,2
4.06,Effectif de médecins soignants par province.,MSPLS/Annuaire des statistiques sanitaires.,Gitega,30,24,21,21,38,"",9,11,11
4.06,Effectif de médecins soignants par province.,MSPLS/Annuaire des statistiques sanitaires.,Karusi,6,8,8,8,7,"",1,1,1
4.06,Effectif de médecins soignants par province.,MSPLS/Annuaire des statistiques sanitaires.,Muramvya,5,7,8,8,11,"",1,0,1
4.06,Effectif de médecins soignants par province.,MSPLS/Annuaire des statistiques sanitaires.,Muyinga,2,7,10,10,14,"",2,3,3
4.06,Effectif de médecins soignants par province.,MSPLS/Annuaire des statistiques sanitaires.,Kirundo,7,4,12,12,21,"",1,1,2
