id_tableau,titre_tableau,source,categorie,sous_categorie,2002,2006,2008,2014
2.10,Nombre de ménages possedant l'électricité pour éclairage par province,"QUID 2002, QUIBB 2006, RGPH 2008, ECVMB 2013-2014",Province,Bubanza,1382,525,1760,244
2.10,Nombre de ménages possedant l'électricité pour éclairage par province,"QUID 2002, QUIBB 2006, RGPH 2008, ECVMB 2013-2014",Province,Bujumbura,1217,544,2364,3701
2.10,Nombre de ménages possedant l'électricité pour éclairage par province,"QUID 2002, QUIBB 2006, RGPH 2008, ECVMB 2013-2014",Province,Bururi,3170,7150,4875,7738
2.10,Nombre de ménages possedant l'électricité pour éclairage par province,"QUID 2002, QUIBB 2006, RGPH 2008, ECVMB 2013-2014",Province,Cankuzo,19,34,511,688
2.10,Nombre de ménages possedant l'électricité pour éclairage par province,"QUID 2002, QUIBB 2006, RGPH 2008, ECVMB 2013-2014",Province,Cibitoke,2960,1273,2472,10659
2.10,Nombre de ménages possedant l'électricité pour éclairage par province,"QUID 2002, QUIBB 2006, RGPH 2008, ECVMB 2013-2014",Province,Gitega,100,3785,4438,6655
2.10,Nombre de ménages possedant l'électricité pour éclairage par province,"QUID 2002, QUIBB 2006, RGPH 2008, ECVMB 2013-2014",Province,Karusi,47,433,828,1216
2.10,Nombre de ménages possedant l'électricité pour éclairage par province,"QUID 2002, QUIBB 2006, RGPH 2008, ECVMB 2013-2014",Province,Kayanza,3789,4172,3006,4403
2.10,Nombre de ménages possedant l'électricité pour éclairage par province,"QUID 2002, QUIBB 2006, RGPH 2008, ECVMB 2013-2014",Province,Kirundo,730,263,2056,659
2.10,Nombre de ménages possedant l'électricité pour éclairage par province,"QUID 2002, QUIBB 2006, RGPH 2008, ECVMB 2013-2014",Province,Makamba,54,992,2161,4770
