id_tableau,titre_tableau,source,categorie,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
3.14,Evolution mensuelle des précipitations par station météorologique de Rwegura (en mm),IGEBU,Janvier,"61,3",286,-,"247,6","265,1","114,8",40,"215,2","288,4","166,9","301,5","126,8","153,7"
3.14,Evolution mensuelle des précipitations par station météorologique de Rwegura (en mm),IGEBU,Février,155,241,-,"205,2","235,6","144,8","123,7",101,"265,9","101,5","198,5","144,6","118,1"
3.14,Evolution mensuelle des précipitations par station météorologique de Rwegura (en mm),IGEBU,Mars,137,139,-,"176,4","206,6","270,9","62,9","312,4","221,6","205,9","215,8",235,-
3.14,Evolution mensuelle des précipitations par station météorologique de Rwegura (en mm),IGEBU,Avril,148,229,"156,1","181,6",-,-,262,"286,8",148,270,219,"104,2","419,1"
3.14,Evolution mensuelle des précipitations par station météorologique de Rwegura (en mm),IGEBU,Mai,204,-,"79,7","248,2","81,4","148,4","225,4","128,4","19,5","152,2","51,8","123,3",-
3.14,Evolution mensuelle des précipitations par station météorologique de Rwegura (en mm),IGEBU,Juin,13,-,"89,8","12,6","142,6",-,"10,6",0,"19,5","63,1",0,0,-
3.14,Evolution mensuelle des précipitations par station météorologique de Rwegura (en mm),IGEBU,Juillet,"8,1","9,4","21,4","0,5",0,"20,6",0,"0,3","15,6",0,0,"3,7",15
3.14,Evolution mensuelle des précipitations par station météorologique de Rwegura (en mm),IGEBU,Août,"7,9","38,9",-,"48,8",0,"24,4","87,7","57,9","48,5",0,0,"51,5","84,3"
3.14,Evolution mensuelle des précipitations par station météorologique de Rwegura (en mm),IGEBU,Septembre,"35,2",141,"150,4","50,4","120,7","115,7","103,7","172,5",111,"103,8",0,"230,5","49,3"
3.14,Evolution mensuelle des précipitations par station météorologique de Rwegura (en mm),IGEBU,Octobre,"80,1",161,"171,3","103,6","111,6",-,"205,4","119,6",270,"165,4","119,9","145,4","207,3"
