id_tableau,titre_tableau,source,région,centre,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
11.12,Evolution des consommations d'eau par région (en m3),REGIDESO,Bujumbura,Bujumbura,17 710 706,17 596 392,17 445 895,19 324 174,20 099 227,19 536 056,20 936 969,25 113 514,22 023 241,21 639 284
11.12,Evolution des consommations d'eau par région (en m3),REGIDESO,Région Sud,Rumonge,260 039,320 167,488 853,288 534,382 234,372 630,447 948,332 933,312 150,287 766
11.12,Evolution des consommations d'eau par région (en m3),REGIDESO,Région Sud,Nyanza-Lac,141 282,126 621,127 679,112 498,104 784,119 759,145 668,132 098,83 862,76 105
11.12,Evolution des consommations d'eau par région (en m3),REGIDESO,Région Sud,Makamba/Mabanda,147 561,192 324,237 554,192 061,187 546,267 652,323 743,181 107,171 520,165 822
11.12,Evolution des consommations d'eau par région (en m3),REGIDESO,Région Sud,Bururi/Rutana,280 026,126 423,297 188,142 241,127 824,126 964,157 529,222 704,68 723,108 060
11.12,Evolution des consommations d'eau par région (en m3),REGIDESO,Région Est,Gitega,850 280,967 887,1 333 881,1 479 225,2 598 789,2 418 130,2 582 216,1 777 462,1 897 430,1 411 077
11.12,Evolution des consommations d'eau par région (en m3),REGIDESO,Région Est,Cankuzo,278 489,107 425,19 113,349 346,287 925,157 662,214 494,208 590,212 732,-26 834
11.12,Evolution des consommations d'eau par région (en m3),REGIDESO,Région Est,Ruyigi,31 950,311 219,281 123,140 166,313 220,313 220,294 855,371 919,72 754,154 432
11.12,Evolution des consommations d'eau par région (en m3),REGIDESO,Région Est,Rutana,77 017,84 160,3 881,193 607,305 565,465 801,335 799,68 235,123 235,291 369
11.12,Evolution des consommations d'eau par région (en m3),REGIDESO,Région Nord,Ngozi,617 360,646 460,503 357,692 882,845 383,1 210 191,1 312 621,629 210,474 775,487 019
