id_tableau,titre_tableau,source,categorie,2010,2011,2012,2013,2014,2015,2016,2017,2018
4.08,Morbidité dans les hôpitaux par province,MSPLS/Annuaire des statistiques sanitaires.,Bubanza,9137,23731,19921,35640,26594,29506,28247,40209,49194
4.08,Morbidité dans les hôpitaux par province,MSPLS/Annuaire des statistiques sanitaires.,Cibitoke,26604,20703,12973,27228,24166,20395,29434,32100,54038
4.08,Morbidité dans les hôpitaux par province,MSPLS/Annuaire des statistiques sanitaires.,Bujumbura(Rural),18309,28968,15698,21244,19790,18543,21289,26680,36146
4.08,Morbidité dans les hôpitaux par province,MSPLS/Annuaire des statistiques sanitaires.,Bururi,15763,15043,9395,10652,56345,20572,22758,31375,70808
4.08,Morbidité dans les hôpitaux par province,MSPLS/Annuaire des statistiques sanitaires.,Makamba,43687,56443,44976,44331,36399,13413,19673,28109,37575
4.08,Morbidité dans les hôpitaux par province,MSPLS/Annuaire des statistiques sanitaires.,Gitega,36408,71756,70244,78361,81415,68580,84299,115208,224683
4.08,Morbidité dans les hôpitaux par province,MSPLS/Annuaire des statistiques sanitaires.,Karusi,10617,3582,3307,8520,15371,10281,1961,14220,22389
4.08,Morbidité dans les hôpitaux par province,MSPLS/Annuaire des statistiques sanitaires.,Muramvya,7503,6517,8119,13324,12626,20938,16512,27625,42454
4.08,Morbidité dans les hôpitaux par province,MSPLS/Annuaire des statistiques sanitaires.,Muyinga,25677,19393,25575,26643,29353,41637,53378,34022,47222
4.08,Morbidité dans les hôpitaux par province,MSPLS/Annuaire des statistiques sanitaires.,Kirundo,9013,12803,14333,14775,11231,25134,32404,23052,17735
