id_tableau,titre_tableau,source,code,produit,quantité,unité,2017,2018
12.02,Prix moyen à la consommation des ménages,ISTEEBU,1,ALIMENTATION ET BOISSONS NON ALCOOLISÉES,"","","",""
12.02,Prix moyen à la consommation des ménages,ISTEEBU,11,Produits alimentaires,"","","",""
12.02,Prix moyen à la consommation des ménages,ISTEEBU,111,Pains et céréales,"","","",""
12.02,Prix moyen à la consommation des ménages,ISTEEBU,1111,Céréales non transformées,"","","",""
12.02,Prix moyen à la consommation des ménages,ISTEEBU,11111010,Riz blanc local à  grains longs,1,kg,1957,1775
12.02,Prix moyen à la consommation des ménages,ISTEEBU,11111020,Riz blanc local à  grains courts,1,kg,1823,1578
12.02,Prix moyen à la consommation des ménages,ISTEEBU,11112010,Riz blanc long grains importé de la Tanzanie,1,kg,1923,2546
12.02,Prix moyen à la consommation des ménages,ISTEEBU,11112020,Riz blanc à  grains longs importé de la tanzanie (sac de 25 kg) 1ère qualité,25,kg,61755,52046
12.02,Prix moyen à la consommation des ménages,ISTEEBU,11113010,Maïs à  grains blanc local BIO,1,kg,1126,682
12.02,Prix moyen à la consommation des ménages,ISTEEBU,11113020,Maïs à  grains blanc local HYBRIDE,1,kg,1148,782
