id_tableau,titre_tableau,source,province,cause,2016,2017,2018
20.10,Répartition des accidents de la circulation routière par province selon les causes,MSP,Bubanza,Etat de la chaussée ,7,11,34
20.11,Répartition des accidents de la circulation routière par province selon les causes,MSP,Bubanza,Excès de vitesse,68,39,81
20.12,Répartition des accidents de la circulation routière par province selon les causes,MSP,Bubanza,Ivresse du conducteur,0,0,3
20.13,Répartition des accidents de la circulation routière par province selon les causes,MSP,Bubanza,Mauvais état du vehicle,8,1,7
20.14,Répartition des accidents de la circulation routière par province selon les causes,MSP,Bubanza,Autres,2,2,33
20.15,Répartition des accidents de la circulation routière par province selon les causes,MSP,Bubanza,TOTAL,85,53,158
20.16,Répartition des accidents de la circulation routière par province selon les causes,MSP,Bujumbura,Etat de la chaussée ,63,44,92
20.17,Répartition des accidents de la circulation routière par province selon les causes,MSP,Bujumbura,Excès de vitesse,111,44,65
20.18,Répartition des accidents de la circulation routière par province selon les causes,MSP,Bujumbura,Ivresse du conducteur,2,0,24
20.19,Répartition des accidents de la circulation routière par province selon les causes,MSP,Bujumbura,Mauvais état du vehicle,12,4,19
